,timestamp,stored,actor,verb,object,result
1210,2023-05-09 06:23:32.396000+00:00,2023-05-09T06:23:32.396Z,Android102,Swiped,Left,"{""score"":{""raw"":0}}"
1209,2023-05-09 06:23:33.128000+00:00,2023-05-09T06:23:33.128Z,Android102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1208,2023-05-09 06:23:35.978000+00:00,2023-05-09T06:23:35.978Z,Android101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1207,2023-05-09 06:23:37.601000+00:00,2023-05-09T06:23:37.601Z,iphone102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1206,2023-05-09 06:23:38.628000+00:00,2023-05-09T06:23:38.628Z,Android104,Logged In,Deusto,"{""score"":{""raw"":0}}"
1205,2023-05-09 06:23:41.283000+00:00,2023-05-09T06:23:41.283Z,iphone102,Placed,Earth,"{""score"":{""raw"":0}}"
1204,2023-05-09 06:23:41.816000+00:00,2023-05-09T06:23:41.816Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1203,2023-05-09 06:23:45.209000+00:00,2023-05-09T06:23:45.209Z,iphone102,Placed,Earth,"{""score"":{""raw"":0}}"
1202,2023-05-09 06:23:47.417000+00:00,2023-05-09T06:23:47.417Z,AR4Education,Logged In,Deusto,"{""score"":{""raw"":0}}"
1201,2023-05-09 06:23:48.119000+00:00,2023-05-09T06:23:48.119Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1200,2023-05-09 06:23:48.392000+00:00,2023-05-09T06:23:48.392Z,Tablet102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1199,2023-05-09 06:23:48.497000+00:00,2023-05-09T06:23:48.497Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1198,2023-05-09 06:23:52.618000+00:00,2023-05-09T06:23:52.618Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1197,2023-05-09 06:23:55.834000+00:00,2023-05-09T06:23:55.834Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1196,2023-05-09 06:23:56.082000+00:00,2023-05-09T06:23:56.082Z,AR4Education,Placed,Earth,"{""score"":{""raw"":0}}"
1195,2023-05-09 06:23:56.404000+00:00,2023-05-09T06:23:56.404Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1194,2023-05-09 06:23:57.400000+00:00,2023-05-09T06:23:57.400Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1193,2023-05-09 06:23:57.580000+00:00,2023-05-09T06:23:57.580Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1192,2023-05-09 06:23:58.101000+00:00,2023-05-09T06:23:58.101Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1191,2023-05-09 06:23:58.248000+00:00,2023-05-09T06:23:58.248Z,Tablet101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1190,2023-05-09 06:23:58.303000+00:00,2023-05-09T06:23:58.303Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1189,2023-05-09 06:23:59.005000+00:00,2023-05-09T06:23:59.005Z,iphone102,Placed,Earth,"{""score"":{""raw"":0}}"
1188,2023-05-09 06:24:00.269000+00:00,2023-05-09T06:24:00.269Z,iPad101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1187,2023-05-09 06:24:00.647000+00:00,2023-05-09T06:24:00.647Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1186,2023-05-09 06:24:03.881000+00:00,2023-05-09T06:24:03.881Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1185,2023-05-09 06:24:04.171000+00:00,2023-05-09T06:24:04.171Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1184,2023-05-09 06:24:04.331000+00:00,2023-05-09T06:24:04.331Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1183,2023-05-09 06:24:04.361000+00:00,2023-05-09T06:24:04.361Z,Tablet102,Swiped,Right,"{""score"":{""raw"":0}}"
1182,2023-05-09 06:24:05.131000+00:00,2023-05-09T06:24:05.131Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1181,2023-05-09 06:24:06.037000+00:00,2023-05-09T06:24:06.037Z,Android102,Swiped,Right,"{""score"":{""raw"":0}}"
