,timestamp,stored,actor,verb,object,result
756,2023-05-10 06:30:12.009000+00:00,2023-05-10T06:30:12.009Z,PC021,Suggested,up|,
755,2023-05-10 06:30:14.302000+00:00,2023-05-10T06:30:14.302Z,Android202,Suggested,europe|NOK,"{""score"":{""raw"":0}}"
754,2023-05-10 06:30:14.890000+00:00,2023-05-10T06:30:14.890Z,Android203,Suggested,,"{""score"":{""raw"":0}}"
753,2023-05-10 06:30:15.846000+00:00,2023-05-10T06:30:15.846Z,Tablet202,Suggested,,"{""score"":{""raw"":0}}"
752,2023-05-10 06:30:16.284000+00:00,2023-05-10T06:30:16.284Z,Teacher,Checked,"{""type"":""Answer"",""sender"":""#u_s_Iphone202"",""name"":""Earth"",""screenshot"":"""",""px"":0.29817935824394226,""py"":0.34805139899253845,""pz"":0.19987349212169647,""sx"":0.0020000000949949026,""sy"":0.0020000000949949026,""sz"":0.0020000000949949026,""rx"":0.8556493520736694,""ry"":0.08738482743501663,""rz"":-0.4864140748977661,""time_left"":12.21828842163086}",
751,2023-05-10 06:30:16.289000+00:00,2023-05-10T06:30:16.289Z,Teacher,Assigned,8.63;Iphone202,
750,2023-05-10 06:30:16.307000+00:00,2023-05-10T06:30:16.307Z,Iphone202,Sent,"(0.29817935824394226,_0.34805139899253845, 0.19987349212169647), (40.10, 33.83) 12",
749,2023-05-10 06:30:19.264000+00:00,2023-05-10T06:30:19.264Z,Teacher,Asked,2/7,
748,2023-05-10 06:30:23.946000+00:00,2023-05-10T06:30:23.946Z,Tablet202,Accepted,7,"{""score"":{""raw"":0}}"
747,2023-05-10 06:30:24.308000+00:00,2023-05-10T06:30:24.308Z,Teacher,Set Turn,Tablet202,
746,2023-05-10 06:30:26.657000+00:00,2023-05-10T06:30:26.657Z,PC011,Suggested,antarctica|NOK,
745,2023-05-10 06:30:28.006000+00:00,2023-05-10T06:30:28.006Z,PC029,Suggested,asia|OK,
744,2023-05-10 06:30:28.614000+00:00,2023-05-10T06:30:28.614Z,Android204,Suggested,asia|OK,"{""score"":{""raw"":0}}"
743,2023-05-10 06:30:29.123000+00:00,2023-05-10T06:30:29.123Z,PC024,Suggested,asia|OK,
742,2023-05-10 06:30:29.326000+00:00,2023-05-10T06:30:29.326Z,Android201,Suggested,asia|OK,"{""score"":{""raw"":0}}"
741,2023-05-10 06:30:29.685000+00:00,2023-05-10T06:30:29.685Z,iPhone201,Suggested,asia|OK,"{""score"":{""raw"":0}}"
740,2023-05-10 06:30:30.418000+00:00,2023-05-10T06:30:30.418Z,PC026,Suggested,asia|OK,
739,2023-05-10 06:30:33.386000+00:00,2023-05-10T06:30:33.386Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
738,2023-05-10 06:30:34.757000+00:00,2023-05-10T06:30:34.757Z,Tablet202,Placed,"(0.11574970370727074,_0.15101291503245212, 0.4623820246740307), (17.58, 75.95)",
737,2023-05-10 06:30:36.745000+00:00,2023-05-10T06:30:36.745Z,iPhone201,Suggested,,"{""score"":{""raw"":0}}"
736,2023-05-10 06:30:37.711000+00:00,2023-05-10T06:30:37.711Z,iPad202,Suggested,,"{""score"":{""raw"":0}}"
735,2023-05-10 06:30:42.314000+00:00,2023-05-10T06:30:42.314Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
734,2023-05-10 06:30:43.282000+00:00,2023-05-10T06:30:43.282Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
733,2023-05-10 06:30:45.473000+00:00,2023-05-10T06:30:45.473Z,Tablet202,Sent,"(0.11556489765644073,_0.15339426696300507, 0.461643785238266), (17.58, 75.95) 30",
732,2023-05-10 06:30:45.474000+00:00,2023-05-10T06:30:45.474Z,Teacher,Checked,"{""type"":""Answer"",""sender"":""#u_s_Tablet202"",""name"":""Earth"",""screenshot"":"""",""px"":0.11556489765644073,""py"":0.15339426696300507,""pz"":0.461643785238266,""sx"":0.0020000000949949026,""sy"":0.0020000000949949026,""sz"":0.0020000000949949026,""rx"":0.9869498610496521,""ry"":0.008985242806375027,""rz"":0.14942273497581482,""time_left"":29.617029190063477}",
731,2023-05-10 06:30:45.492000+00:00,2023-05-10T06:30:45.492Z,Teacher,Assigned,4.8;Tablet202,
730,2023-05-10 06:30:46.274000+00:00,2023-05-10T06:30:46.274Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
729,2023-05-10 06:30:47.357000+00:00,2023-05-10T06:30:47.357Z,iPhone201,Swiped,Right,"{""score"":{""raw"":0}}"
728,2023-05-10 06:30:48.354000+00:00,2023-05-10T06:30:48.354Z,Teacher,Asked,2/8,
727,2023-05-10 06:30:50.866000+00:00,2023-05-10T06:30:50.866Z,Iphone202,Swiped,Left,"{""score"":{""raw"":0}}"
726,2023-05-10 06:30:54.652000+00:00,2023-05-10T06:30:54.652Z,Android203,Accepted,8,"{""score"":{""raw"":0}}"
725,2023-05-10 06:30:55.142000+00:00,2023-05-10T06:30:55.142Z,Teacher,Set Turn,Android203,
724,2023-05-10 06:30:57.174000+00:00,2023-05-10T06:30:57.174Z,PC023,Suggested,europe|NOK,
723,2023-05-10 06:30:57.377000+00:00,2023-05-10T06:30:57.377Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
722,2023-05-10 06:30:58.205000+00:00,2023-05-10T06:30:58.205Z,Android203,Swiped,Left,"{""score"":{""raw"":0}}"
721,2023-05-10 06:31:00.501000+00:00,2023-05-10T06:31:00.501Z,Android201,Suggested,south-america|NOK,"{""score"":{""raw"":0}}"
720,2023-05-10 06:31:00.823000+00:00,2023-05-10T06:31:00.823Z,PC011,Suggested,africa|OK,
719,2023-05-10 06:31:01.549000+00:00,2023-05-10T06:31:01.549Z,Android204,Suggested,oceania|NOK,"{""score"":{""raw"":0}}"
718,2023-05-10 06:31:02.368000+00:00,2023-05-10T06:31:02.368Z,PC025,Suggested,africa|OK,
717,2023-05-10 06:31:02.635000+00:00,2023-05-10T06:31:02.635Z,PC026,Suggested,africa|OK,
716,2023-05-10 06:31:04.124000+00:00,2023-05-10T06:31:04.124Z,PC021,Suggested,africa|OK,
715,2023-05-10 06:31:05.989000+00:00,2023-05-10T06:31:05.989Z,PC028,Suggested,south-america|NOK,
714,2023-05-10 06:31:06.732000+00:00,2023-05-10T06:31:06.732Z,Android202,Suggested,south-america|NOK,"{""score"":{""raw"":0}}"
713,2023-05-10 06:31:08.072000+00:00,2023-05-10T06:31:08.072Z,Android203,Swiped,Right,"{""score"":{""raw"":0}}"
712,2023-05-10 06:31:08.637000+00:00,2023-05-10T06:31:08.637Z,Android203,Swiped,Right,"{""score"":{""raw"":0}}"
711,2023-05-10 06:31:09.360000+00:00,2023-05-10T06:31:09.360Z,PC024,Suggested,africa|OK,
710,2023-05-10 06:31:09.457000+00:00,2023-05-10T06:31:09.457Z,Android203,Swiped,Right,"{""score"":{""raw"":0}}"
709,2023-05-10 06:31:10.091000+00:00,2023-05-10T06:31:10.091Z,PC029,Suggested,africa|OK,
708,2023-05-10 06:31:10.344000+00:00,2023-05-10T06:31:10.344Z,Android203,Swiped,Right,"{""score"":{""raw"":0}}"
707,2023-05-10 06:31:11.450000+00:00,2023-05-10T06:31:11.450Z,Android203,Swiped,Right,"{""score"":{""raw"":0}}"
706,2023-05-10 06:31:11.966000+00:00,2023-05-10T06:31:11.966Z,PC022,Suggested,africa|OK,
705,2023-05-10 06:31:17.011000+00:00,2023-05-10T06:31:17.011Z,Iphone202,Suggested,africa|OK,"{""score"":{""raw"":0}}"
704,2023-05-10 06:31:27.683000+00:00,2023-05-10T06:31:27.683Z,Android203,Placed,"(0.44228290326571984,_-0.12339435736922971, 0.19788824711116762), (-14.29, 24.10)",
